statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
당산,하행,밤,완행,545,34
당산,하행,밤,전체,315,65
당산,하행,새벽,급행,780,3
당산,하행,새벽,완행,805,7
당산,하행,새벽,전체,480,10
당산,하행,점심,급행,660,41
당산,하행,점심,완행,660,43
당산,하행,점심,전체,310,84
당산,하행,출근,급행,495,20
당산,하행,출근,완행,505,21
당산,하행,출근,전체,275,41
당산,하행,퇴근,급행,475,21
당산,하행,퇴근,완행,480,21
당산,하행,퇴근,전체,280,42
동작,상행,밤,급행,660,22
동작,상행,밤,완행,660,28
동작,상행,밤,전체,340,51
동작,상행,새벽,급행,720,7
동작,상행,새벽,완행,705,8
동작,상행,새벽,전체,470,15
동작,상행,점심,급행,660,38
동작,상행,점심,완행,660,39
동작,상행,점심,전체,205,77
동작,상행,출근,급행,380,25
동작,상행,출근,완행,380,25
동작,상행,출근,전체,195,50
동작,상행,퇴근,급행,410,25
동작,상행,퇴근,완행,410,25
동작,상행,퇴근,전체,220,50
동작,하행,밤,급행,660,29
동작,하행,밤,완행,660,33
동작,하행,밤,전체,215,63
동작,하행,새벽,급행,780,4
동작,하행,새벽,완행,780,7
동작,하행,새벽,전체,555,11
동작,하행,점심,급행,660,40
동작,하행,점심,완행,660,42
동작,하행,점심,전체,195,82
동작,하행,출근,급행,390,21
동작,하행,출근,완행,380,23
동작,하행,출근,전체,195,44
동작,하행,퇴근,급행,465,21
동작,하행,퇴근,완행,430,22
동작,하행,퇴근,전체,215,43
둔촌오륜,상행,밤,완행,660,30
둔촌오륜,상행,밤,전체,660,30
둔촌오륜,상행,새벽,완행,765,7
둔촌오륜,상행,새벽,전체,765,7
둔촌오륜,상행,점심,완행,660,38
둔촌오륜,상행,점심,전체,660,38
둔촌오륜,상행,출근,완행,380,24
둔촌오륜,상행,출근,전체,380,24
둔촌오륜,상행,퇴근,완행,410,25
둔촌오륜,상행,퇴근,전체,410,25
둔촌오륜,하행,밤,완행,660,28
둔촌오륜,하행,밤,전체,660,28
둔촌오륜,하행,새벽,완행,780,8
둔촌오륜,하행,새벽,전체,780,8
둔촌오륜,하행,점심,완행,660,38
둔촌오륜,하행,점심,전체,660,38
둔촌오륜,하행,출근,완행,380,25
둔촌오륜,하행,출근,전체,380,25
둔촌오륜,하행,퇴근,완행,410,25
둔촌오륜,하행,퇴근,전체,410,25
등촌,상행,밤,완행,660,26
등촌,상행,밤,전체,660,26
등촌,상행,새벽,완행,595,9
등촌,상행,새벽,전체,595,9
등촌,상행,점심,완행,660,40
등촌,상행,점심,전체,660,40
등촌,상행,출근,완행,380,24
등촌,상행,출근,전체,380,24
등촌,상행,퇴근,완행,410,24
등촌,상행,퇴근,전체,410,24
등촌,하행,밤,완행,485,34
등촌,하행,밤,전체,485,34
등촌,하행,새벽,완행,838,6
등촌,하행,새벽,전체,838,6
등촌,하행,점심,완행,660,45
등촌,하행,점심,전체,660,45
등촌,하행,출근,완행,518,20
등촌,하행,출근,전체,518,20
등촌,하행,퇴근,완행,480,20
등촌,하행,퇴근,전체,480,20
마곡나루,상행,밤,급행,660,20
마곡나루,상행,밤,완행,660,25
마곡나루,상행,밤,전체,490,46
마곡나루,상행,새벽,급행,720,9
마곡나루,상행,새벽,완행,490,11
마곡나루,상행,새벽,전체,210,20
마곡나루,상행,점심,급행,660,39
마곡나루,상행,점심,완행,660,40
마곡나루,상행,점심,전체,220,79
마곡나루,상행,출근,급행,380,24
마곡나루,상행,출근,완행,380,23
마곡나루,상행,출근,전체,200,47
마곡나루,상행,퇴근,급행,410,24
마곡나루,상행,퇴근,완행,410,25
마곡나루,상행,퇴근,전체,190,49
마곡나루,하행,밤,급행,642,32
마곡나루,하행,밤,완행,462,36
마곡나루,하행,밤,전체,195,69
마곡나루,하행,새벽,급행,835,2
마곡나루,하행,새벽,완행,815,7
마곡나루,하행,새벽,전체,745,9
마곡나루,하행,점심,급행,660,42
마곡나루,하행,점심,완행,660,44
마곡나루,하행,점심,전체,178,86
마곡나루,하행,출근,급행,520,19
